ItemId,avg
1,4.25
2,5.0
3,7.0
4,8.16667
5,5.0
6,7.42857
8,6.0
9,10.0
10,4.57143
11,6.0
12,6.07692
13,7.33333
14,6.0
15,3.75
16,6.0
18,6.28571
22,7.0
24,4.0
25,9.0
26,2.0
27,7.0
29,8.5
30,6.66667
31,7.0
32,8.0
33,8.0
34,9.0
35,6.0
36,4.0
37,7.0
38,7.0
39,8.57143
41,7.0
42,9.0
43,6.0
45,8.28571
46,7.0
47,6.0
48,5.125
49,4.05263
50,3.0
51,3.0
52,8.22222
53,8.5
54,7.09524
55,1.0
56,8.0
57,8.0
58,8.1
59,5.0
61,6.76923
62,7.0
63,4.0
64,6.0
65,4.0
66,6.0
67,9.5
68,6.0
70,6.69231
71,3.0
72,4.0
73,5.0
74,4.5
75,7.62963
76,7.28571
77,8.5
78,4.0
79,10.0
80,5.0
81,6.0
83,4.0
84,4.58333
85,1.0
86,7.0
88,6.61905
89,4.0
90,2.0
91,8.75
92,10.0
93,1.0
94,6.0
96,6.0
97,7.33333
98,5.0
99,5.0
100,8.35714
101,5.5
102,5.66667
103,8.0
104,7.08333
105,3.5
106,8.0
107,5.78571
108,8.0
109,3.0
110,8.75
111,8.25
112,6.0
113,6.5
114,7.30435
115,6.0
116,5.5
118,1.0
119,5.0
120,3.5
121,8.5
122,6.33333
123,7.0
124,8.0
125,5.33333
126,8.5
127,5.5
128,7.66667
129,8.25
130,7.0
131,6.14286
132,6.0
133,8.32143
134,8.0
135,9.0
136,7.0
137,1.0
138,7.0
139,1.0
140,9.0
142,6.0
143,7.0
144,6.0
145,8.0
146,5.39535
148,4.0
149,7.18182
150,5.0
152,6.16667
154,6.27778
155,6.0
156,8.33333
157,6.0
158,1.0
161,5.0
162,7.0
163,7.0
164,7.0
166,8.0
167,3.0
168,2.5
169,8.0
170,4.5
171,9.0
173,6.0
174,7.0
175,3.5
176,7.28571
178,9.0
180,6.46667
182,5.25
183,7.5
184,8.13793
185,5.57143
186,5.66667
187,6.66667
188,5.0
189,9.0
190,7.0
191,1.0
192,7.0
