userId,neighborId,similarity
4,8323,0.522
4,2468,0.344
4,1637,0.566
4,12177,0.42
4,8296,0.522
4,1640,0.307
4,3121,0.245
4,973,0.325
4,12366,0.496
4,2653,0.333
4,4081,0.441
4,5682,0.298
4,6803,0.409
4,9365,0.268
4,9846,0.332
4,10747,0.33
4,924,0.49
4,13117,0.447
4,4414,0.253
4,13119,0.298
5,8193,0.284
5,1027,0.284
5,612,0.453
5,630,0.247
5,9063,0.283
5,5020,0.246
5,6442,0.266
5,12299,0.394
5,7853,0.285
5,2564,0.263
5,11313,0.392
5,658,0.284
5,12470,0.403
5,10201,0.457
5,11160,0.249
5,6393,0.358
5,2106,0.258
5,8295,0.26
5,11090,0.263
5,10815,0.298
8,4416,0.147
8,67,0.181
8,1732,0.061
8,6207,0.057
8,423,0.069
8,2953,0.12
8,1482,0.124
8,6540,0.073
8,6705,0.169
8,14418,0.166
8,12788,0.069
8,3637,0.132
8,599,0.132
8,3545,0.071
8,4794,0.109
8,2747,0.083
8,12757,0.121
8,12682,0.056
8,13630,0.054
8,15071,0.089
9,14212,0.351
9,10966,0.343
9,4583,0.414
9,8989,0.294
9,937,0.353
9,4746,0.321
9,2286,0.724
9,303,0.46
9,721,0.522
9,9394,0.579
9,8180,0.487
9,686,0.345
9,9590,0.385
9,10985,0.328
9,15161,0.333
9,10132,0.33
9,11567,0.724
9,11484,0.392
9,13021,0.719
9,9342,0.392
13,9680,0.456
13,2735,0.228
13,3408,0.237
13,8518,0.266
13,12903,0.228
13,12648,0.228
13,4620,0.18
13,6351,0.196
13,1358,0.228
13,6717,0.303
13,3216,0.551
13,11475,0.463
13,6164,0.306
13,8917,0.201
13,7446,0.23
13,8762,0.182
13,10297,0.352
13,1178,0.268
13,9647,0.248
13,1082,0.315
18,14155,0.247
18,40,0.259
18,14247,0.277
18,296,0.276
18,15207,0.307
18,7314,0.278
18,3822,0.284
18,15245,0.276
18,15368,0.274
18,13490,0.307
18,7219,0.286
18,12116,0.277
